100m Medley,25m,1:31.25, 22 Jul 2023,Hollyburn Summer Swim Meet,
200m Breaststroke,25m,3:28.97, 22 Jul 2023,Hollyburn Summer Swim Meet,
50m Butterfly,25m,44.67,24 Jun 2023,Summer Divisionals - Vancouver & Fraser,
100m Breaststroke,25m,1:33.42,24 Jun 2023,Summer Divisionals - Vancouver & Fraser,
50m Freestyle,25m,37.35,24 Jun 2023,Summer Divisionals - Vancouver & Fraser,
200m Medley,25m,3:18.17,23 Jun 2023,Summer Divisionals - Vancouver & Fraser,
50m Breaststroke,25m,42.87,23 Jun 2023,Summer Divisionals - Vancouver & Fraser,
200m Backstroke,25m,3:28.31,3 Jun 2023,LMR East Championships,
200m Freestyle,25m,3:23.67,3 Jun 2023,LMR East Championships,
50m Freestyle Laps,25m,37.33,14 May 2023,Gators LMR Meet,RELAY
100m Backstroke,25m,1:37.66,14 May 2023,Gators LMR Meet,
50m Breaststroke Laps,25m,43.27,13 May 2023,Gators LMR Meet,RELAY
100m Freestyle,25m,1:31.82,15 Apr 2023,PSW Spring Invitational,
100m Butterfly,25m,1:49.48,22 Jan 2023,Mies Schootman Invitational Swim Meet,
