50m Butterfly,25m,51.15,4 Jun 2023,LMR East Championships
50m Breaststroke,25m,56.39,4 Jun 2023,LMR East Championships
100m Freestyle,25m,1:29.34,4 Jun 2023,LMR East Championships
200m Backstroke,25m,4:01.85,3 Jun 2023,LMR East Championships
50m Backstroke,25m,50.03,3 Jun 2023,LMR East Championships
200m Medley,25m,3:58.92,14 May 2023,Gators LMR Meet
100m Breaststroke,25m,2:02.44,14 May 2023,Gators LMR Meet
100m Backstroke,25m,2:02.54,14 May 2023,Gators LMR Meet
100m Butterfly,25m,2:08.77,13 May 2023,Gators LMR Meet
200m Freestyle,25m,3:51.28,13 May 2023,Gators LMR Meet
